"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","所属路線","本線標識の表記","供用開始日","起点からの距離","接続する一般道","通行台数","備考","専門分野","管理運営","開館","位置","アクセス"
"道の駅せせらぎの里こうら","せせらぎの里こうら（せせらぎのさとこうら）犬上郡甲良町国道307号滋賀-16 ","https://ja.wikipedia.org/wiki/道の駅せせらぎの里こうら","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度12分06秒東経136度16分32秒","〒522-0252滋賀県犬上郡甲良町金屋1549-4","国道307号","第37回（25016）","2012年3月26日","2013年3月23日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9：00 - 18：00","","","","","","","","","","","",""
"和迩インターチェンジ","いもこのさと妹子の郷（いもこのさと）大津市国道161号湖西道路滋賀-17湖西道路和迩ICに併設","https://ja.wikipedia.org/wiki/和迩インターチェンジ#道の駅「妹子の郷」","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度9分39.4秒東経135度54分2.5秒","〒520-0526滋賀県大津市和邇中北緯35度9分39.4秒東経135度54分2.5秒﻿ / ﻿北緯35.160944度 東経135.900694度﻿ /35.160944; 135.900694座標:北緯35度9分39.4秒東経135度54分2.5秒﻿ / ﻿北緯35.160944度 東経135.900694度﻿ /35.160944; 135.900694","","","","","","","湖西道路","和迩","1986年（昭和61年）6月25日[1]","10.7 km（坂本北IC起点）","滋賀県道311号途中志賀線","x台/日","","","","","",""
"道の駅奥永源寺渓流の里","おくえいげんじけいりゅうのさと奥永源寺渓流の里（おくえいげんじけいりゅうのさと）東近江市国道421号滋賀-18","https://ja.wikipedia.org/wiki/道の駅奥永源寺渓流の里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度06分20秒東経136度22分19秒","〒527-0207滋賀県東近江市蓼畑町510番地[1]","国道421号","第42回（25018）","2014年10月10日","2015年10月10日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","（4-11月）9:00 - 17:00（12-3月）9:00 - 16:00","","","","","","","","","","","",""
"道の駅アグリパーク竜王","あぐりぱーくりゅうおうアグリパーク竜王（アグリパークりゅうおう）蒲生郡竜王町国道477号滋賀-19","https://ja.wikipedia.org/wiki/道の駅アグリパーク竜王","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度02分37秒東経136度08分43秒","〒520-2531滋賀県蒲生郡竜王町山之上6526番地","国道477号","第43回（25019）","2015年4月15日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:009:00 - 18:00（7月末～8月末）","","","","","","","","","","","",""
"道の駅浅井三姉妹の郷","あざいさんしまいのさと浅井三姉妹の郷（あざいさんしまいのさと）長浜市国道365号滋賀-20 ","https://ja.wikipedia.org/wiki/道の駅浅井三姉妹の郷","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度25分48秒東経136度18分21秒","〒526-0244滋賀県長浜市内保町2843番地[1]","国道365号","第44回（25020）","2015年11月5日[1][2]","2017年3月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅舟屋の里 伊根","ふなやのさといね舟屋の里 伊根（ふなやのさといね）与謝郡伊根町国道178号府道622号伊根港線京都-01 ","https://ja.wikipedia.org/wiki/道の駅舟屋の里_伊根","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度40分28秒東経135度17分28秒","〒626-0424京都府与謝郡伊根町亀島459","国道178号","第1回（26001）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅シルクのまち かや","しるくのまちかやシルクのまち かや与謝郡与謝野町国道176号京都-02 ","https://ja.wikipedia.org/wiki/道の駅シルクのまち_かや","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度28分53秒東経135度05分37秒","〒629-2422京都府与謝郡与謝野町滝98","国道176号","第6回（26002）","1994年8月4日","1995年4月","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 18:00","","","","","","","","","","","",""
"道の駅てんきてんき丹後","てんきてんき丹後（てんきてんきたんご）京丹後市国道178号京都-03 ","https://ja.wikipedia.org/wiki/道の駅てんきてんき丹後","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度44分20秒東経135度06分18秒","〒627-0221京都府京丹後市丹後町竹野313-1","国道178号","第10回（26003）","1996年4月16日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅和","なごみ和（なごみ）船井郡京丹波町国道27号京都-04 ","https://ja.wikipedia.org/wiki/道の駅和","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度16分13秒東経135度23分51秒","〒629-1131京都府船井郡京丹波町坂原上モジリ11","国道27号","第13回（26004）","1997年10月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","8:30 - 18:30","","","","","","","","","","","",""
"道の駅ガレリアかめおか","がれりあかめおかガレリアかめおか亀岡市国道9号京都-05 ","https://ja.wikipedia.org/wiki/道の駅ガレリアかめおか","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度0分53.6秒東経135度33分58.8秒","〒621-0806京都府亀岡市余部町宝久保1-1","国道9号","第14回（26005）","1998年4月17日","1998年","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 22:00","","","","","","","","","","","",""
