"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","所属路線","本線標識の表記","供用開始日","起点からの距離","接続する一般道","通行台数","備考","専門分野","管理運営","開館","位置","アクセス"
"道の駅但馬のまほろば","たじまのまほろば但馬のまほろば（たじまのまほろば）朝来市国道483号兵庫-27北近畿豊岡自動車道山東PAに併設","https://ja.wikipedia.org/wiki/道の駅但馬のまほろば","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度18分41秒東経134度52分12秒","〒669-5153兵庫県朝来市山東町大月字北山92番地6","国道483号（.mw-parser-output .jaexpsign{text-align:center;background-color:#00702C;color:white}.mw-parser-output .jaroadsign{text-align:center;background-color:blue;color:white}.mw-parser-output .roadname{width:250px;border-radius:10px;padding:1em;margin:0.2em auto}.mw-parser-output .roadname p{margin:5px auto}.mw-parser-output .routenumber{display:inline-block;min-width:2em;border-radius:4px;padding-left:0.25em;padding-right:0.25em;font-weight:bold}E72北近畿豊岡自動車道）","第21回（28028）","2005年8月10日","2006年7月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 20:00","","","","","","","","","","","",""
"道の駅ようか但馬蔵","ようか但馬蔵（ようかたじまのくら）養父市国道9号兵庫-28 ","https://ja.wikipedia.org/wiki/道の駅ようか但馬蔵","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度23分38.4秒東経134度44分33.2秒","〒667-0043兵庫県養父市八鹿町高柳241-1","国道9号","第22回（28029）","2006年8月10日","2007年3月24日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅みつ","みつたつの市国道250号兵庫-29 ","https://ja.wikipedia.org/wiki/道の駅みつ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度46分48秒東経134度31分24秒","〒671-1322兵庫県たつの市御津町室津896-23","国道250号","第32回（28030）","2009年7月31日","2010年2月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅あまるべ","あまるべ美方郡香美町国道178号兵庫-30 ","https://ja.wikipedia.org/wiki/道の駅あまるべ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度38分59秒東経134度33分37秒","〒669-6671兵庫県美方郡香美町香住区余部1723-4","国道178号","第37回（28031）","2012年3月26日","2012年7月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅福良","ふくら福良（ふくら）南あわじ市国道28号兵庫-31 ","https://ja.wikipedia.org/wiki/道の駅福良","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度15分20秒東経134度43分09秒","〒656-0501兵庫県南あわじ市福良甲1528-1","国道28号","第39回（28032）","2013年3月27日","2013年4月1日","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅山田錦発祥のまち・多可","やまだにしきはっしょうのまちたか山田錦発祥のまち・多可（やまだにしきはっしょうのまちたか）多可郡多可町国道427号兵庫-32 ","https://ja.wikipedia.org/wiki/道の駅山田錦発祥のまち・多可","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度3分32.4秒東経134度55分7.6秒","〒679-1114兵庫県多可郡多可町中区岸上281-1","国道427号","第44回（28033）","2015年11月5日","2015年12月6日[1]","国土交通省案内ページ全国道の駅連絡会ページ","9:30 - 17:30","","","","","","","","","","","",""
"道の駅神戸フルーツ・フラワーパーク大沢","こうべフルーツフラワーパークおおぞう神戸フルーツ・フラワーパーク 大沢（こうべフルーツフラワーパークおおぞう）神戸市北区県道73号山田三田線兵庫-33 ","https://ja.wikipedia.org/wiki/道の駅神戸フルーツ・フラワーパーク大沢","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度50分56秒東経135度11分28秒","〒651-1522兵庫県神戸市北区大沢町上大沢2150","兵庫県道73号","第45回（28034）","2016年5月10日","2017年3月30日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅山陰海岸ジオパーク浜坂の郷","さんいんかいがんジオパークはまさかのさと山陰海岸ジオパーク浜坂の郷（さんいんかいがんジオパークはまさかのさと）美方郡新温泉町県道47号浜坂井土線兵庫-34 ","https://ja.wikipedia.org/wiki/道の駅山陰海岸ジオパーク浜坂の郷","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度36分36秒東経134度28分12秒","〒669-6745兵庫県美方郡新温泉町栃谷57","兵庫県道47号","第46回（28035）","2016年10月7日","2017年9月21日[1][2][3]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅銀の馬車道・神河","ぎんのばしゃみちかみかわ銀の馬車道・神河（ぎんのばしゃみちかみかわ）神崎郡神河町国道312号兵庫-35 ","https://ja.wikipedia.org/wiki/道の駅銀の馬車道・神河","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度05分28秒東経134度46分41秒","〒679-2434兵庫県神崎郡神河町吉冨88-10","国道312号","第47回（28036）","2017年4月21日","2017年11月25日[1][2]","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 16:00","","","","","","","","","","","",""
"道の駅吉野路 大塔","よしのじおおとう吉野路 大塔（よしのじおおとう）五條市国道168号奈良-01 ","https://ja.wikipedia.org/wiki/道の駅吉野路_大塔","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度12分51秒東経135度43分58秒","〒637-0417奈良県五條市大塔町阪本225-6","国道168号","第1回（29001）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅吉野路 上北山","よしのじかみきたやま吉野路 上北山（よしのじかみきたやま）吉野郡上北山村国道169号奈良-02 ","https://ja.wikipedia.org/wiki/道の駅吉野路_上北山","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度08分23秒東経136度00分00秒","〒639-3701奈良県吉野郡上北山村河合1-1","国道169号","第1回（29002）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 18:00","","","","","","","","","","","",""
"道の駅杉の湯 川上","すぎのゆかわかみ杉の湯 川上（すぎのゆかわかみ）吉野郡川上村国道169号奈良-03 ","https://ja.wikipedia.org/wiki/道の駅杉の湯_川上","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度20分14秒東経135度57分17秒","〒639-3553奈良県吉野郡川上村迫695","国道169号","第1回（29003）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅吉野路 黒滝","よしのじくろたき吉野路 黒滝（よしのじくろたき）吉野郡黒滝村国道309号奈良-04 ","https://ja.wikipedia.org/wiki/道の駅吉野路_黒滝","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度18分21秒東経135度49分24秒","〒638-0233奈良県吉野郡黒滝村長瀬22","国道309号","第1回（29004）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 18:00","","","","","","","","","","","",""
"道の駅ふたかみパーク當麻","ふたかみパーク當麻（ふたかみパークたいま）葛城市国道165号大和高田バイパス奈良-05 ","https://ja.wikipedia.org/wiki/道の駅ふたかみパーク當麻","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度31分35秒東経135度41分36秒","〒639-0272奈良県葛城市新在家402-1","国道165号","第7回（29005）","1995年1月30日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅宇陀路 大宇陀","うだじおおうだ宇陀路 大宇陀（うだじおおうだ）宇陀市国道166号国道370号奈良-06 ","https://ja.wikipedia.org/wiki/道の駅宇陀路_大宇陀","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度28分34秒東経135度55分56秒","〒633-2164奈良県宇陀市大宇陀拾生714-1","国道166号","第12回（29006）","1997年4月11日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅十津川郷","とつかわごう十津川郷（とつかわごう）吉野郡十津川村国道168号奈良-07 ","https://ja.wikipedia.org/wiki/道の駅十津川郷","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度59分18秒東経135度47分37秒","〒637-1333奈良県吉野郡十津川村小原225-1","国道168号","第12回（29007）","1997年4月11日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅宇陀路 室生","うだじむろう宇陀路 室生（うだじむろう）宇陀市国道165号奈良-08 ","https://ja.wikipedia.org/wiki/道の駅宇陀路_室生","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度34分35秒東経136度02分03秒","〒633-0317奈良県宇陀市室生三本松3176-1","国道165号","第13回（29008）","1997年10月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 19:009:00 - 18:00（冬季）","","","","","","","","","","","",""
"道の駅針T・R・S","はりテラス針T・R・S（はりテラス）奈良市国道25号奈良-09名阪国道針ICと一体型PFI事業で運営","https://ja.wikipedia.org/wiki/道の駅針T・R・S","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度36分37秒東経135度57分48秒","〒632-0251奈良県奈良市針町345","国道25号（.mw-parser-output .jaexpsign{text-align:center;background-color:#00702C;color:white}.mw-parser-output .jaroadsign{text-align:center;background-color:blue;color:white}.mw-parser-output .roadname{width:250px;border-radius:10px;padding:1em;margin:0.2em auto}.mw-parser-output .roadname p{margin:5px auto}.mw-parser-output .routenumber{display:inline-block;min-width:2em;border-radius:4px;padding-left:0.25em;padding-right:0.25em;font-weight:bold}E25名阪国道）","第14回（29009）","1998年4月17日","2001年7月28日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅大和路へぐり","やまとじへぐり大和路へぐり（やまとじへぐり）生駒郡平群町国道168号平群バイパス奈良-10 ","https://ja.wikipedia.org/wiki/道の駅大和路へぐり","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度37分25秒東経135度42分23秒","〒636-0903奈良県生駒郡平群町平等寺75-1","国道168号","第15回（29010）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 19:00（4月土日祝，5 - 9月）9:00 - 18:00（10-3月，4月平日）","","","","","","","","","","","",""
"道の駅吉野路 大淀iセンター","よしのじおおよどアイセンター吉野路大淀iセンター（よしのじおおよどアイセンター）吉野郡大淀町国道169号奈良-11 ","https://ja.wikipedia.org/wiki/道の駅吉野路_大淀iセンター","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度24分44秒東経135度47分49秒","〒638-0801奈良県吉野郡大淀町芦原536-1","国道169号","第16回（29011）","2000年8月18日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 17:30（平日）8:00 - 18:00（土日祝）","","","","","","","","","","","",""
"道の駅伊勢本街道 御杖","いせほんかいどうみつえ伊勢本街道 御杖（いせほんかいどうみつえ）宇陀郡御杖村国道368号国道369号奈良-12 ","https://ja.wikipedia.org/wiki/道の駅伊勢本街道_御杖","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度30分56秒東経136度11分59秒","〒633-1301奈良県宇陀郡御杖村神末6325","国道368号","第20回（29012）","2004年8月9日","2004年7月","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 20:00","","","","","","","","","","","",""
"道の駅かつらぎ","かつらぎ葛城市国道166号奈良-13 ","https://ja.wikipedia.org/wiki/道の駅かつらぎ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度29分44秒東経135度42分17秒","〒639-2153奈良県葛城市太田1257","国道166号","第45回（29013）","2016年5月10日","2016年11月3日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅レスティ 唐古・鍵","れすてぃからこかぎレスティ 唐古・鍵（レスティからこかぎ）磯城郡田原本町国道24号奈良-14 ","https://ja.wikipedia.org/wiki/道の駅レスティ_唐古・鍵","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度34分17.1秒東経135度47分50秒","〒636-0226奈良県磯城郡田原本町大字唐古70-1","国道24号","第48回（29014）","2017年11月17日","2018年4月20日[1][2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅飛鳥","あすか飛鳥（あすか）高市郡明日香村国道169号奈良-15 ","https://ja.wikipedia.org/wiki/道の駅飛鳥","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度27分53.8秒東経135度47分55.1秒","〒634-0138奈良県高市郡明日香村大字越6-2","国道169号","第49回（29015）","2018年4月25日","2018年9月18日[1][2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅しみず","しみず有田郡有田川町国道480号和歌山-01 ","https://ja.wikipedia.org/wiki/道の駅しみず","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度05分18秒東経135度26分36秒","〒643-0521和歌山県有田郡有田川町清水607","国道480号","第1回（30001）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:00 - 18:00（4 - 9月）10:00 - 17:00（10 - 3月）","","","","","","","","","","","",""
"道の駅San Pin 中津","さんぴんなかつSan Pin 中津（さんぴんなかつ）日高郡日高川町県道26号御坊美山線和歌山-02 ","https://ja.wikipedia.org/wiki/道の駅San_Pin_中津","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度57分01秒東経135度15分48秒","〒644-1111和歌山県日高郡日高川町船津802","和歌山県道26号","第1回（30002）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00 - 18:00（3〜6月、9月)8:00- 18:30(7.8月）8:00〜17:00(10〜2月)","","","","","","","","","","","",""
"道の駅ふるさとセンター大塔","ふるさとセンター大塔（ふるさとセンターおおとう）田辺市国道311号和歌山-03 ","https://ja.wikipedia.org/wiki/道の駅ふるさとセンター大塔","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度44分34秒東経135度30分07秒","〒646-1101和歌山県田辺市鮎川1000","国道311号","第4回（30003）","1994年11月24日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:45","","","","","","","","","","","",""
"道の駅龍神","りゅうじん龍神（りゅうじん）田辺市国道371号和歌山-04 ","https://ja.wikipedia.org/wiki/道の駅龍神","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度57分56秒東経135度33分53秒","〒645-0525和歌山県田辺市龍神村龍神170-3","国道371号","第7回（30004）","1995年1月30日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 16:00","","","","","","","","","","","",""
"道の駅イノブータンランド・すさみ","いのぶーたんらんどすさみイノブータンランド・すさみ西牟婁郡すさみ町国道42号和歌山-05 ","https://ja.wikipedia.org/wiki/道の駅イノブータンランド・すさみ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度31分14秒東経135度32分44秒","〒649-3141和歌山県西牟婁郡すさみ町見老津1-32","国道42号","第8回（30005）","1995年4月11日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 17:15","","","","","","","","","","","",""
"道の駅志原海岸","しはらかいがん志原海岸（しはらかいがん）西牟婁郡白浜町国道42号和歌山-06 ","https://ja.wikipedia.org/wiki/道の駅志原海岸","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度34分14秒東経135度25分53秒","〒649-2511和歌山県西牟婁郡白浜町日置2039-73","国道42号","第9回（30006）","1995年8月3日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 17:00","","","","","","","","","","","",""
"道の駅熊野古道中辺路","くまのこどうなかへち熊野古道中辺路（くまのこどうなかへち）田辺市国道311号和歌山-07 ","https://ja.wikipedia.org/wiki/道の駅熊野古道中辺路","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度48分43秒東経135度35分41秒","〒646-1402和歌山県田辺市中辺路町近露2474-1","国道311号","第10回（30007）","1996年4月16日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しらまの里","しらまの里（しらまのさと）有田郡有田川町国道424号和歌山-08 ","https://ja.wikipedia.org/wiki/道の駅しらまの里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度00分54秒東経135度20分04秒","〒643-0164和歌山県有田郡有田川町宇井苔213-1","国道424号","第11回（30008）","1996年8月5日","不明","国土交通省案内ページ全国道の駅連絡会ページ","8:00 - 17:30","","","","","","","","","","","",""
"道の駅みなべうめ振興館","みなべうめ振興館（みなべうめしんこうかん）日高郡みなべ町国道424号和歌山-09 ","https://ja.wikipedia.org/wiki/道の駅みなべうめ振興館","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度47分26秒東経135度19分37秒","〒645-0026日本和歌山県日高郡みなべ町谷口538番地1","","","","","公式ウェブサイト","","","","","","","","","うめと旧南部川村の歴史","みなべ町","1997年7月28日","北緯33度47分26秒東経135度19分37秒﻿ / ﻿北緯33.79069度 東経135.32708度﻿ /33.79069; 135.32708座標:北緯33度47分26秒東経135度19分37秒﻿ / ﻿北緯33.79069度 東経135.32708度﻿ /33.79069; 135.32708","阪和自動車道みなべICから車で5分"
"道の駅紀州備長炭記念公園","きしゅうびんちょうたんきねんこうえん紀州備長炭記念公園（きしゅうびんちょうたんきねんこうえん）田辺市県道29号田辺龍神線和歌山-10 ","https://ja.wikipedia.org/wiki/道の駅紀州備長炭記念公園","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度48分12秒東経135度25分38秒","〒646-0102和歌山県田辺市秋津川1491-1","和歌山県道29号","第12回（30010）","1997年4月11日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅瀞峡街道 熊野川","どろきょうかいどうくまのがわ瀞峡街道 熊野川（どろきょうかいどうくまのがわ）新宮市国道168号和歌山-11台風被災により一部休業中（2011年9月4日以降）","https://ja.wikipedia.org/wiki/道の駅瀞峡街道_熊野川","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度47分25秒東経135度53分48秒","〒647-1212和歌山県新宮市熊野川町田長47","国道168号","第14回（30011）","1998年4月17日","不明","国土交通省案内ページ全国道の駅連絡会ページ","8:30 - 17:00","","","","","","","","","","","",""
"道の駅紀の川万葉の里","きのかわまんようのさと紀の川万葉の里（きのかわまんようのさと）伊都郡かつらぎ町国道24号和歌山-12 ","https://ja.wikipedia.org/wiki/道の駅紀の川万葉の里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度17分04秒東経135度27分52秒","〒649-7164和歌山県伊都郡かつらぎ町窪487","国道24号","第15回（30012）","1999年8月27日","1995年11月","国土交通省案内ページ全国道の駅連絡会ページ","8:30 - 18:00（3 - 10月）8:30 - 17:00（11 - 2月）","","","","","","","","","","","",""
"道の駅奥熊野古道ほんぐう","おくくまのこどうほんぐう奥熊野古道ほんぐう（おくくまのこどうほんぐう）田辺市国道168号和歌山-13 ","https://ja.wikipedia.org/wiki/道の駅奥熊野古道ほんぐう","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度51分55秒東経135度45分43秒","〒647-1743和歌山県田辺市本宮町伏拝904-4","国道168号","第15回（30013）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅おくとろ","おくとろ東牟婁郡北山村国道169号和歌山-14 ","https://ja.wikipedia.org/wiki/道の駅おくとろ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度56分22秒東経135度56分47秒","〒519-5604和歌山県東牟婁郡北山村下尾井335","国道169号","第15回（30014）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅水の郷日高川 龍游","みずのさとひだかがわりゅうゆう水の郷日高川 龍游（みずのさとひだかがわりゅうゆう）田辺市国道424号和歌山-15 ","https://ja.wikipedia.org/wiki/道の駅水の郷日高川_龍游","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度53分44秒東経135度26分22秒","〒645-0301和歌山県田辺市龍神村福井511","国道424号","第15回（30015）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅明恵ふるさと館","みょうえふるさとかん明恵ふるさと館（みょうえふるさとかん）有田郡有田川町国道480号和歌山-16 ","https://ja.wikipedia.org/wiki/道の駅明恵ふるさと館","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度03分15秒東経135度15分47秒","〒643-0152和歌山県有田郡有田川町金屋322-1","国道480号","第17回（30016）","2001年8月21日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:30（5月 - 9月）9:00 - 18:00（10月 - 4月）","","","","","","","","","","","",""
"道の駅根来さくらの里","ねごろさくらのさと根来さくらの里（ねごろさくらのさと）岩出市県道63号泉佐野岩出線和歌山-17 ","https://ja.wikipedia.org/wiki/道の駅根来さくらの里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度18分43秒東経135度18分25秒","〒649-6201和歌山県岩出市押川37-1","和歌山県道63号泉佐野岩出線","第18回（30017）","2002年8月13日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00（4 - 9月）9:00 - 17:00（10 - 3月）","","","","","","","","","","","",""
"道の駅あらぎの里","あらぎの里（あらぎのさと）有田郡有田川町国道480号和歌山-18 ","https://ja.wikipedia.org/wiki/道の駅あらぎの里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度05分35秒東経135度24分46秒","〒643-0511和歌山県有田郡有田川町大字三田664-1","国道480号","第28回（30018）","2008年8月8日","不明","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 17:30（3 - 10月）10:00 - 17:00（11 - 2月）","","","","","","","","","","","",""
"道の駅一枚岩","いちまいいわ一枚岩（いちまいいわ）東牟婁郡古座川町国道371号和歌山-19 ","https://ja.wikipedia.org/wiki/道の駅一枚岩","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度32分45秒東経135度43分13秒","〒643-0511和歌山県東牟婁郡古座川町相瀬290-2[1]","国道371号","第30回（30019）","2009年3月12日","2009年5月1日","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅白崎海洋公園","しらさきかいようこうえん白崎海洋公園（しらさきかいようこうえん）日高郡由良町県道24号御坊由良線和歌山-20白崎海洋公園に併設","https://ja.wikipedia.org/wiki/道の駅白崎海洋公園","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度58分37.5秒東経135度4分21.2秒","〒643-0164和歌山県日高郡由良町大字大引960-1","和歌山県道24号","第32回（30020）","2009年7月31日","2009年12月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","24時間","","","","","","","","","","","",""
"道の駅椿はなの湯","つばきはなのゆ椿はなの湯（つばきはなのゆ）西牟婁郡白浜町国道42号和歌山-21 ","https://ja.wikipedia.org/wiki/道の駅椿はなの湯","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度36分12秒東経135度23分30秒","〒649-2326和歌山県西牟婁郡白浜町椿1058-1","国道42号","第33回（30021）","2010年3月1日","2010年4月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 21:00（3月 - 10月）9:00 - 20:00（11月 - 2月）","","","","","","","","","","","",""
"道の駅なち","なち東牟婁郡那智勝浦町国道42号和歌山-22 ","https://ja.wikipedia.org/wiki/道の駅なち","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度38分40秒東経135度56分12秒","〒649-5314和歌山県東牟婁郡那智勝浦町浜ノ宮361-2","国道42号","第34回（30022）","2010年8月9日","2010年11月3日","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 16:30（農産物発売所）13:00 - 22:00（丹敷の湯）","","","","","","","","","","","",""
"道の駅瀧之拝太郎","たきのはいたろう瀧之拝太郎（たきのはいたろう）東牟婁郡古座川町県道43号那智勝浦古座川線和歌山-23 ","https://ja.wikipedia.org/wiki/道の駅瀧之拝太郎","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯33度36分13秒東経135度45分58秒","〒649-4216和歌山県東牟婁郡古座川町小川774番地","和歌山県道43号","第34回（30023）","2010年8月9日","2012年3月","国土交通省案内ページ全国道の駅連絡会ページ","","","","","","","","","","","","",""
"道の駅田辺市龍神ごまさんスカイタワー","たなべしりゅうじんごまさんスカイタワー田辺市龍神ごまさんスカイタワー（たなべしりゅうじんごまさんスカイタワー）田辺市国道371号高野龍神スカイライン和歌山-24 ","https://ja.wikipedia.org/wiki/道の駅田辺市龍神ごまさんスカイタワー","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度03分40秒東経135度33分52秒","〒645-0525和歌山県田辺市龍神村龍神1020-6","国道371号","第37回（30024）","2012年3月26日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 17:00（平日）9:00 - 17:00（土・日・祝日）","","","","","","","","","","","",""
