"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","公式サイト","分類","運営者","前身","テーマ","キャッチコピー","面積","来園者数","開園","位置","Hidden","Hidden"
"道の駅空の夢もみの木パーク","そらのゆめもみのきパーク空の夢もみの木パーク（そらのゆめもみのきパーク）仲多度郡まんのう町国道32号香川-07 ","https://ja.wikipedia.org/wiki/道の駅空の夢もみの木パーク","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度09分18秒東経133度49分18秒","〒769-0319香川県仲多度郡まんのう町追上424番地1","国道32号","第12回（37007）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","不明","8:30 - 18:00","","","","","","","","","","","",""
"道の駅みろく","みろくさぬき市県道10号高松長尾大内線香川-08 ","https://ja.wikipedia.org/wiki/道の駅みろく","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度15分29秒東経134度14分33秒","〒761-0902香川県さぬき市大川町富田中3298番地1","香川県道10号","第12回（37008）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1997年4月","9:00 - 17:45","","","","","","","","","","","",""
"道の駅しおのえ","しおのえ高松市国道193号香川-09EVスポット","https://ja.wikipedia.org/wiki/道の駅しおのえ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度10分13秒東経134度04分55秒","〒761-1612香川県高松市塩江町安原上東390番地21","国道193号","第12回（37009）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1997年3月","8:00 - 19:00（3 - 10月）8:00 - 18:00（11 - 2月）","","","","","","","","","","","",""
"道の駅滝宮","たきのみや滝宮（たきのみや）綾歌郡綾川町国道32号香川-10 ","https://ja.wikipedia.org/wiki/道の駅滝宮","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度15分00秒東経133度55分01秒","〒761-2305香川県綾歌郡綾川町大字滝宮1578番地","国道32号","第13回（37010）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 22:00","","","","","","","","","","","",""
"道の駅ことなみ","ことなみ仲多度郡まんのう町国道438号香川-11 ","https://ja.wikipedia.org/wiki/道の駅ことなみ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度05分42秒東経134度00分28秒","〒766-0203香川県仲多度郡まんのう町川東2355番地1","国道438号","第14回（37011）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年7月","8:00 - 19:00（平日）8:00 - 20:00（土日祝）","","","","","","","","","","","",""
"道の駅恋人の聖地 うたづ臨海公園","こいびとのせいちうたづりんかいこうえん恋人の聖地 うたづ臨海公園（こいびとのせいちうたづりんかいこうえん）綾歌郡宇多津町県道194号飯野宇多津線香川-12 ","https://ja.wikipedia.org/wiki/道の駅恋人の聖地_うたづ臨海公園","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度18分48秒東経133度48分28秒","〒769-0201香川県綾歌郡宇多津町浜一番丁4番地","香川県道194号","第14回（37012）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 21:00","","","","","","","","","","","",""
"道の駅とよはま","とよはま観音寺市国道11号香川-13EVスポット","https://ja.wikipedia.org/wiki/道の駅とよはま","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度02分34秒東経133度36分05秒","〒769-1604香川県観音寺市豊浜町箕浦字大西甲2506番地","国道11号","第15回（37013）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅たからだの里さいた","たからだの里さいた（たからだのさとさいた）三豊市県道5号観音寺池田線香川-14 ","https://ja.wikipedia.org/wiki/道の駅たからだの里さいた","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度06分37秒東経133度47分53秒","〒769-0401香川県三豊市財田町財田上180番地6","香川県道5号観音寺池田線","第15回（37014）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:00 - 18:00","","","","","","","","","","","",""
"道の駅大坂城残石記念公園","おおさかじょうざんせききねんこうえん大坂城残石記念公園（おおさかじょうざんせききねんこうえん）小豆郡土庄町県道26号土庄福田線香川-15 ","https://ja.wikipedia.org/wiki/道の駅大坂城残石記念公園","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度32分02秒東経134度14分32秒","〒761-4144香川県小豆郡土庄町小海甲909-1","香川県道26号","第15回（37015）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅ながお","ながおさぬき市県道3号志度山川線香川-16 ","https://ja.wikipedia.org/wiki/道の駅ながお","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度13分16秒東経134度10分30秒","〒769-2305香川県さぬき市前山940番地12","香川県道3号志度山川線","第17回（37016）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 16:00（月 - 土）8:00 - 16:00（日）","","","","","","","","","","","",""
"道の駅香南楽湯","こうなんらくゆ香南楽湯（こうなんらくゆ）高松市県道13号三木綾川線香川-17EVスポット","https://ja.wikipedia.org/wiki/道の駅香南楽湯","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度14分22秒東経134度00分26秒","〒761-1404香川県高松市香南町横井997番地2","香川県道13号","第17回（37017）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年5月26日","9:00 - 22:00","","","","","","","","","","","",""
"道の駅源平の里むれ","げんぺいのさとむれ源平の里むれ（げんぺいのさとむれ）高松市国道11号香川-18防災拠点化、非常用発電機、EVスポット","https://ja.wikipedia.org/wiki/道の駅源平の里むれ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度20分02秒東経134度09分27秒","〒761-0123香川県高松市牟礼町原字井手東631番地5","国道11号","第23回（37018）","2007年3月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年8月4日","9:00 - 20:00","","","","","","","","","","","",""
"道の駅瀬戸農業公園","せとのうぎょうこうえん瀬戸農業公園（せとのうぎょうこうえん）西宇和郡伊方町国道197号愛媛-01旧名称「瀬戸町農業公園」","https://ja.wikipedia.org/wiki/道の駅瀬戸農業公園","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度26分51秒東経132度15分29秒","〒791-3502愛媛県西宇和郡伊方町塩成乙293","国道197号","第1回（38001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:30 - 17:30","","","","","","","","","","","",""
"道の駅マイントピア別子","まいんとぴあべっしマイントピア別子（マイントピアべっし）新居浜市県道47号新居浜別子山線愛媛-02 ","https://ja.wikipedia.org/wiki/道の駅マイントピア別子","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度54分5.2秒東経133度18分34.2秒","〒792-0846愛媛県新居浜市立川町707-3","","","","","","","公式ウェブサイト","","","別子銅山","別子銅山","世界的産業遺産の里","約6万m2","約32万人（2003年度）","1991年6月5日","北緯33度54分5.2秒東経133度18分34.2秒座標:北緯33度54分5.2秒 東経133度18分34.2秒","",""
"道の駅日吉夢産地","ひよしゆめさんち日吉夢産地（ひよしゆめさんち）北宇和郡鬼北町国道320号愛媛-03 ","https://ja.wikipedia.org/wiki/道の駅日吉夢産地","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度19分49秒東経132度47分54秒","〒798-1502愛媛県北宇和郡鬼北町下鍵山54番地","国道320号","第5回（38003）","1994年4月26日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1994年4月27日","8:30-19:00","","","","","","","","","","","",""
"道の駅ひろた","ひろた伊予郡砥部町国道379号愛媛-04 ","https://ja.wikipedia.org/wiki/道の駅ひろた","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度38分26秒東経132度47分59秒","〒791-2205愛媛県伊予郡砥部町総津162-1","国道379号","第5回（38004）","1994年4月26日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:00 - 17:00","","","","","","","","","","","",""
"道の駅ふたみ","ふたみ伊予市国道378号愛媛-05 ","https://ja.wikipedia.org/wiki/道の駅ふたみ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度41分06秒東経132度38分03秒","〒799-3207愛媛県伊予市双海町高岸2326","国道378号","第6回（38005）","1994年8月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 18:00","","","","","","","","","","","",""
