"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","蔵書数","公式サイト","貸出数","事業主体","条例","来館者数","開館","ISIL","専門分野","延床面積","管理運営","年運営費","前身","職員数","位置","建物設計","貸出者数","館長"
"来夢21図書館 (存在しないページ)","[来夢21図書館]","https://ja.wikipedia.org/w/index.php?title=来夢21図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"美唄市立図書館 (存在しないページ)","[美唄市立図書館[外 11]]","https://ja.wikipedia.org/w/index.php?title=美唄市立図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"芦別市立図書館 (存在しないページ)","[芦別市立図書館[外 12]]","https://ja.wikipedia.org/w/index.php?title=芦別市立図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤平市図書館 (存在しないページ)","[赤平市図書館[外 13]]","https://ja.wikipedia.org/w/index.php?title=赤平市図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三笠市立図書館 (存在しないページ)","[三笠市立図書館[外 14]]","https://ja.wikipedia.org/w/index.php?title=三笠市立図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"滝川市立図書館","[滝川市立図書館[外 15] 滝川市立図書館 （たきかわしりつとしょかん）は、 北海道 滝川市 にある 公共図書館 である。 市役所 庁舎に入居しており、市の財政圧迫を抑えつつ、利便性の高い立地を活かしたサービスの向上、利用促進ならびに中心 市街地 の活性化を図っている   。また、 東日本大震災 の際には、たまたま同時期に廃止された 移動図書館 車を活用して被災地へ本を寄贈するなどの支援活動を行った   。","https://ja.wikipedia.org/wiki/滝川市立図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度33分28秒東経141度54分37秒","〒073- 8686滝川市大町1丁目2番15号","134,845冊（2012年度時点時点）","http://lib.city.takikawa.hokkaido.jp/","219,469冊（2012年度）","滝川市","滝川市立図書館条例（昭和48年4月1日条例第27号）","106,443人（2012年度）","1973年（昭和48年）4月1日","JP-1000082","総合","1,402.4m2","滝川市教育委員会","","","","北緯43度33分28秒東経141度54分37秒﻿ / ﻿北緯43.55778度 東経141.91028度﻿ /43.55778; 141.91028座標:北緯43度33分28秒東経141度54分37秒﻿ / ﻿北緯43.55778度 東経141.91028度﻿ /43.55778; 141.91028","","",""
"砂川市図書館 (存在しないページ)","[砂川市図書館[外 16]]","https://ja.wikipedia.org/w/index.php?title=砂川市図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"歌志内市立図書館 (存在しないページ)","[歌志内市立図書館[外 17]]","https://ja.wikipedia.org/w/index.php?title=歌志内市立図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"深川市生きがい文化センター図書館 (存在しないページ)","[深川市生きがい文化センター図書館[外 18]]","https://ja.wikipedia.org/w/index.php?title=深川市生きがい文化センター図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奈井江町図書館 (存在しないページ)","[奈井江町図書館[外 19]]","https://ja.wikipedia.org/w/index.php?title=奈井江町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"由仁町ゆめっく館 (存在しないページ)","[由仁町ゆめっく館[外 20]]","https://ja.wikipedia.org/w/index.php?title=由仁町ゆめっく館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長沼町図書館 (存在しないページ)","[長沼町図書館[外 21]]","https://ja.wikipedia.org/w/index.php?title=長沼町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"栗山町図書館 (存在しないページ)","[栗山町図書館[外 22]]","https://ja.wikipedia.org/w/index.php?title=栗山町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新十津川町図書館 (存在しないページ)","[新十津川町図書館[外 23]]","https://ja.wikipedia.org/w/index.php?title=新十津川町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秩父別町図書館 (存在しないページ)","[秩父別町図書館[外 24]]","https://ja.wikipedia.org/w/index.php?title=秩父別町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北竜町図書館 (存在しないページ)","[北竜町図書館[外 25]]","https://ja.wikipedia.org/w/index.php?title=北竜町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沼田町図書館 (存在しないページ)","[沼田町図書館[外 26]]","https://ja.wikipedia.org/w/index.php?title=沼田町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月形町図書館 (存在しないページ)","[月形町図書館[外 27]]","https://ja.wikipedia.org/w/index.php?title=月形町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"市立小樽図書館","[市立小樽図書館[外 28] 市立小樽図書館 （しりつおたるとしょかん）は、 北海道 小樽市 花園 にある 公立図書館 。 1916年 （ 大正 5年）、小樽区役所（後の 小樽市役所 ）の一室に「区立小樽図書館」の名で開設され  、 1922年 （大正11年）の 市制 施行に伴い「市立小樽図書館」に改称  。 1923年 （大正12年） 11月30日 に旧館が落成し  、この旧館が老朽化により解体された後、 1983年 （昭和58年）に新館が完成し  、 平成 期以降に至る。北海道内では、 枝幸郡 枝幸町 の枝幸町立図書館に次いで2番目に古い 図書館 である   。","https://ja.wikipedia.org/wiki/市立小樽図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度11分28.7196秒東経140度59分36.0132秒","〒047-0024北海道小樽市花園5丁目1-1","311,359冊（2019年度時点）","市立小樽図書館","334,776冊（2019年度時点）","","市立小樽図書館条例（平成28年7月13日条例第40号）","179,460人（2019年度時点）","1916年8月1日","JP-1000043","","2489.034m2","小樽市教育委員会","57,433,000円（2019年度時点）","","","北緯43度11分28.7196秒東経140度59分36.0132秒﻿ / ﻿北緯43.191311000度 東経140.993337000度﻿ /43.191311000; 140.993337000座標:北緯43度11分28.7196秒東経140度59分36.0132秒﻿ / ﻿北緯43.191311000度 東経140.993337000度﻿ /43.191311000; 140.993337000","","102,825人（2019年度時点）","鈴木浩一（2020年時点）"
"余市町図書館 (存在しないページ)","[余市町図書館[外 29]]","https://ja.wikipedia.org/w/index.php?title=余市町図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"京極町生涯学習センター (存在しないページ)","[京極町生涯学習センター湧学館[外 30]]","https://ja.wikipedia.org/w/index.php?title=京極町生涯学習センター&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"市立室蘭図書館 (存在しないページ)","[市立室蘭図書館[外 31]]","https://ja.wikipedia.org/w/index.php?title=市立室蘭図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"苫小牧市立中央図書館","[苫小牧市立中央図書館[外 32] 苫小牧市立中央図書館 （とまこまいしりつちゅうおうとしょかん、英語 : Tomakomai City Library）は、 北海道 苫小牧市 末広町に所在する 公立図書館 。","https://ja.wikipedia.org/wiki/苫小牧市立中央図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","〒053-0011北海道苫小牧市末広町3丁目1番15号","199,625（平成30年4月から平成31年3月時点）","http://www.tomakomai-lib.jp/","437,124（平成30年4月から平成31年3月）","苫小牧市","苫小牧市立図書館条例","307,800人（平成30年4月から平成31年3月）","1988年11月3日","JP-1000066","","6,812.19 m2","TRC苫小牧グループ","1億7,601万8,000円（令和元年度）","苫小牧町公民館図書部市立苫小牧図書館","28人","","株式会社岡田新一設計事務所","",""
"登別市立図書館 (存在しないページ)","[登別市立図書館[外 33]]","https://ja.wikipedia.org/w/index.php?title=登別市立図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊達市立図書館 (存在しないページ)","[伊達市立図書館[外 34]]","https://ja.wikipedia.org/w/index.php?title=伊達市立図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白老町立図書館","[白老町立図書館[外 35] 白老町立図書館 （しらおいちょうりつとしょかん）は、 北海道 白老郡 白老町 にある 公立図書館 。なお、本項では、前身の施設についても記述する。","https://ja.wikipedia.org/wiki/白老町立図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯42度33分9.6秒東経141度21分10秒","〒059-0906北海道白老郡白老町本町1丁目1番3号","55,812冊（2017年時点）","図書館ホームページ（白老町）","","","","","","JP-1000141","","","","","","","北緯42度33分9.6秒東経141度21分10秒﻿ / ﻿北緯42.552667度 東経141.35278度﻿ /42.552667; 141.35278座標:北緯42度33分9.6秒東経141度21分10秒﻿ / ﻿北緯42.552667度 東経141.35278度﻿ /42.552667; 141.35278","","",""
"まなびランド図書室 (存在しないページ)","[むかわ町の図書館[外 36]まなびランド図書室穂別図書館]","https://ja.wikipedia.org/w/index.php?title=まなびランド図書室&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"まなびランド図書室 (存在しないページ)","[まなびランド図書室]","https://ja.wikipedia.org/w/index.php?title=まなびランド図書室&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
