title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	K122-Pg12_msgul_hag	9400a0	148	0	160	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	ultramafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
新生代 古第三紀 漸新世 ルペリアン期, 玄武岩 貫入岩	Pg3_vbs_ai	944c9c	148	76	156	新生代 古第三紀 漸新世 ルペリアン期	Cenozoic Paleogene Oligocene Rupelian	火成岩	Igneous rocks	玄武岩 貫入岩	basalt intrusives rocks
中生代 前期白亜紀 アプチアン期〜アルビアン期, 礫質片岩 低P/T型広域変成岩　黒雲母帯	K12_msccg_lb	946514	148	101	20	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　黒雲母帯	conglomerate schist biotite zone of low P/T regional metamorphic rocks
中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 汽水成層ないし海成・非海成混合層 泥岩	K22_sbm	94b9c6	148	185	198	中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 泥岩	brackish, or marine & non-marine  mixture mudstone
新生代 古第三紀 漸新世 ルペリアン期, 非海成層 泥岩	Pg3_snm	94c4d1	148	196	209	新生代 古第三紀 漸新世 ルペリアン期	Cenozoic Paleogene Oligocene Rupelian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	K112-121_msgul_hag	9500a0	149	0	160	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	ultramafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 ベリアシアン期〜バレミアン期, 閃緑岩・石英閃緑岩 島弧・大陸	K11_pbd_a	951393	149	19	147	中生代 前期白亜紀 ベリアシアン期〜バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	火成岩	Igneous rocks	閃緑岩・石英閃緑岩 島弧・大陸	diorite & quartz diorite island arc & continental
中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 礫質片岩 低P/T型広域変成岩　黒雲母帯	Tr1-32_msccg_lb	956514	149	101	20	中生代 前期三畳紀〜後期三畳紀 ノーリアン期	Mesozoic Early Triassic - Late Triassic Norian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　黒雲母帯	conglomerate schist biotite zone of low P/T regional metamorphic rocks
中生代 後期白亜紀 サントニアン期〜新生代 古第三紀 始新世 ヤプレシアン期, 海成層 泥岩 後期白亜紀-始新世付加体	K214-Pg1_som_KPg	95cfce	149	207	206	中生代 後期白亜紀 サントニアン期〜新生代 古第三紀 始新世 ヤプレシアン期	Mesozoic Late Cretaceous Santonian - Cenozoic Paleogene Eocene Ypresian	付加体	Accretionary complexes	海成層 泥岩 後期白亜紀-始新世付加体	marine mudstone Late Cretaceous to Eocene accretionary complex
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	Tr22-J31_msgul_hag	9600a0	150	0	160	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	ultramafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
