title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯	Pg2-N121_msnca_lks	361ee1	54	30	225	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯	calcareous schist, granofels & gneiss sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯	Pg2-N121_msnca_lgc	361ee2	54	30	226	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯	calcareous schist, granofels & gneiss garnet-cordierite zone of low P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）	Pg2-N121_msnca_lop	361fe1	54	31	225	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）	calcareous schist, granofels & gneiss orthopyroxene zone (granulite facies rocks) of low P/ regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	D3-P1_mrga_hag	36406c	54	64	108	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	metagabbro amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	D3-P1_msgma_ham	367100	54	113	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	mafic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 カンブリア紀 フロンギアン世〜シルル紀, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相・グラニュライト相	Ca4-S_msnca_mag	371ce1	55	28	225	古生代 カンブリア紀 フロンギアン世〜シルル紀	Paleozoic Cambrian Furongian - Silurian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相・グラニュライト相	calcareous schist, granofels & gneiss amphibolite or granulite facies rocks of medium P/T regional metamorphic rocks
中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）	Tr1-32_msnca_lop	371de0	55	29	224	中生代 前期三畳紀〜後期三畳紀 ノーリアン期	Mesozoic Early Triassic - Late Triassic Norian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）	calcareous schist, granofels & gneiss orthopyroxene zone (granulite facies rocks) of low P/ regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	Pg2-N121_msgca_lb	371de1	55	29	225	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	calcareous gneiss & schist biotite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）	K12_msnca_lop	371de2	55	29	226	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）	calcareous schist, granofels & gneiss orthopyroxene zone (granulite facies rocks) of low P/ regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相	K122-Pg12_msnca_mam	371ee1	55	30	225	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相	calcareous schist, granofels & gneiss amphibolite facies rock of medium P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_mrga_hag	37406c	55	64	108	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	metagabbro amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	Ca-O_msgma_ham	377100	55	113	0	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	mafic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	K2-Pg12_msgca_lb	381de1	56	29	225	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	calcareous gneiss & schist biotite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mrhb_hc	38406c	56	64	108	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	metamorphosed hornblendite, metamorphosed amphibolite chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	K122-Pg12_msgma_hag	387100	56	113	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	mafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	K12_msgca_lb	391de1	57	29	225	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	calcareous gneiss & schist biotite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	K112-121_mrhb_hc	39406c	57	64	108	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	metamorphosed hornblendite, metamorphosed amphibolite chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	K112-121_msgma_hag	397100	57	113	0	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	mafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 後期オルドビス紀〜前期デボン紀, 海成層 泥岩	O3-D1_som	397aa0	57	122	160	古生代 後期オルドビス紀〜前期デボン紀	Paleozoic Ordovician Late - Early Devonian	堆積岩	Sedimentary rocks	海成層 泥岩	marine mudstone
中生代 後期白亜紀, 超苦鉄質岩類 島弧・大陸	K2_pu_a	3a126f	58	18	111	中生代 後期白亜紀	Mesozoic Late Cretaceous	火成岩	Igneous rocks	超苦鉄質岩類 島弧・大陸	ultramafic rocks island arc & continental
中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	Tr1-32_msgca_lb	3a1de1	58	29	225	中生代 前期三畳紀〜後期三畳紀 ノーリアン期	Mesozoic Early Triassic - Late Triassic Norian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯	calcareous gneiss & schist biotite zone of low P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	Tr22-J31_mrhb_hc	3a406c	58	64	108	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	metamorphosed hornblendite, metamorphosed amphibolite chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯	Tr22-J31_mscpe_hg	3a4b7b	58	75	123	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	Tr22-J31_msgma_hag	3a7100	58	113	0	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	mafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯	Pg2-N121_msgca_lkc	3b1de1	59	29	225	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯	calcareous gneiss & schist Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	D3-P1_mrhb_hc	3b406c	59	64	108	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	metamorphosed hornblendite, metamorphosed amphibolite chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相	Tr22-J31_mscpe_ham	3b4c7c	59	76	124	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相	pelitic schist amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	D3-P1_msgma_hag	3b7100	59	113	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	mafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 海成層 石灰質シルト岩・砂岩	N2_son	3bffd7	59	255	215	新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期	Cenozoic Neogene Miocene late Langhian - Tortonian	堆積岩	Sedimentary rocks	海成層 石灰質シルト岩・砂岩	marine calcareous siltstone & sandstone
新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 海成層 石灰岩	N2_sol	3bffff	59	255	255	新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期	Cenozoic Neogene Miocene late Langhian - Tortonian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯	K2-Pg12_msgca_lkc	3c1de1	60	29	225	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯	calcareous gneiss & schist Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mrhb_hc	3c406c	60	64	108	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯	metamorphosed hornblendite, metamorphosed amphibolite chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	Tr22-J31_mscpe_hag	3c4d7d	60	77	125	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_msgma_hag	3c7100	60	113	0	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	mafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯	Tr1-32_msgca_lkc	3d1de1	61	29	225	中生代 前期三畳紀〜後期三畳紀 ノーリアン期	Mesozoic Early Triassic - Late Triassic Norian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯	calcareous gneiss & schist Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	K122-Pg12_mrhb_hg	3d406c	61	64	108	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	Tr22-J31_msmpe_ham	3d4e7e	61	78	126	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	pelitic schist, granofels, gneiss & migmatite amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　アルバイト黒雲母帯	K122-Pg12_mgama_hab	3d7100	61	113	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　アルバイト黒雲母帯	mafic gneiss & amphibolite albite-biotite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 蛇紋岩  高P/T型広域変成岩　緑泥石帯	K122-Pg12_msp_hc	3e00a0	62	0	160	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　緑泥石帯	serpentinite chlorite zone of high P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯	Pg2-N121_msgca_lks	3e1de1	62	29	225	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯	calcareous gneiss & schist sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	K112-121_mrhb_hg	3e406c	62	64	108	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	Tr22-J31_msmpe_hag	3e4f7f	62	79	127	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic schist, granofels, gneiss & migmatite amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　アルバイト黒雲母帯	D3-P1_mgama_hab	3e7100	62	113	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　アルバイト黒雲母帯	mafic gneiss & amphibolite albite-biotite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mrpr_hc	3f00a0	63	0	160	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　緑泥石帯	metaperidotite chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 蛇紋岩  高P/T型広域変成岩　緑泥石帯	K112-121_msp_hc	3f01a1	63	1	161	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　緑泥石帯	serpentinite chlorite zone of high P/T regional metamorphic rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯	K2-Pg12_msgca_lks	3f1de1	63	29	225	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯	calcareous gneiss & schist sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	Tr22-J31_mrhb_hg	3f406c	63	64	108	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	K122-Pg12_mgama_hob	3f7100	63	113	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	mafic gneiss & amphibolite oligoclase-biotite zone of high P/T  regional metamorphic rocks
古生代 石炭紀, 汽水成層ないし海成・非海成混合層 石灰岩	C_sbl	3f7fff	63	127	255	古生代 石炭紀	Paleozoic Carboniferous	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 石灰岩	brackish, or marine & non-marine  mixture limestone
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯	K112-121_mrpr_hc	4000a0	64	0	160	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　緑泥石帯	metaperidotite chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 蛇紋岩  高P/T型広域変成岩　緑泥石帯	Tr22-J31_msp_hc	4002a2	64	2	162	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　緑泥石帯	serpentinite chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯	K12_msgca_lks	401de1	64	29	225	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	変成岩	Metamorphic rocks	石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯	calcareous gneiss & schist sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	D3-P1_mrhb_hg	40406c	64	64	108	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石	K122-Pg12_mgama_hec	407100	64	113	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石	mafic gneiss & amphibolite high P/T metamorphic rocks experienced eclogite facies regional metamorphism
