# 20万分の1日本シームレス地質図V2
"RGB","comment"
"016897","[K122-Pg12_mgmpe_mam] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相"
"016fe1","[K11-121_mscpe_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"016fe2","[K112-121_mpype_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質千枚岩 高P/T型広域変成岩　緑泥石帯"
"016fe3","[K112-121_msl_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 粘板岩  高P/T型広域変成岩　緑泥石帯"
"017100","[K112-121_mpyma_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯"
"021000","[Ca-O_mgmpe_ham] 古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"022760","[D3-P1_msl_hlb] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 粘板岩  高P/T型広域変成岩　ローソン石青色片岩亜相"
"02393a","[Ca-O_mscpe_hag] 古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"02406c","[Tr22-J31_mrga_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯"
"025c97","[K112-121_msgpe_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"026997","[K122-Pg12_mscpe_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相"
"026998","[K122-Pg12_mgmpe_mag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相・グラニュライト相"
"026be8","[K122-Pg12_mscpe_hg] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯"
"0270e3","[K11-121_mpype_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 泥質千枚岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"0270e4","[K11-121_msl_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 粘板岩  高P/T型広域変成岩　ローソン石青色片岩亜相"
"027100","[Tr22-J31_mpyma_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯"
"031101","[Ca-O_mgmpe_hag] 古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
