# 20万分の1日本シームレス地質図V2
"RGB","comment"
"b13171","[K12_mghul_cph] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b16514","[P_msccg_mam] 古生代 ペルム紀, 礫質片岩 中P/T型広域変成岩　角閃岩相"
"b18104","[Tr1-32_mscpe_lkc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 泥質片岩 低P/T型広域変成岩　カリ長石菫青石帯"
"b1aba3","[K214-Pg1_sx_KPg] 中生代 後期白亜紀 サントニアン期〜新生代 古第三紀 始新世 ヤプレシアン期, 混在岩 後期白亜紀-始新世付加体"
"b23200","[K21_mghul_cb] 中生代 後期白亜紀 セノマニアン期〜サントニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b23232","[K21_mghul_ckc] 中生代 後期白亜紀 セノマニアン期〜サントニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b23272","[K21_mghul_cph] 中生代 後期白亜紀 セノマニアン期〜サントニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b272b2","[K22-Pg2_mscpe_lgs] 中生代 後期白亜紀 カンパニアン期〜新生代 古第三紀 始新世 プリアボニアン期, 泥質片岩 低P/T型広域変成岩　緑色片岩相"
"b272f2","[K22-Pg2_mscpe_lra] 中生代 後期白亜紀 カンパニアン期〜新生代 古第三紀 始新世 プリアボニアン期, 泥質片岩 低P/T型広域変成岩　ぶどう石アクチノ閃石亜相"
"b2dfdc","[N2_sbm] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 汽水成層ないし海成・非海成混合層 泥岩"
"b33300","[K22_mghul_cb] 中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b33333","[K22_mghul_ckc] 中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b33373","[K22_mghul_cph] 中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b35a38","[Q12_vis_ai] 新生代 第四紀 更新世 カラブリアン期, 安山岩・玄武岩質安山岩 貫入岩"
"b36230","[Ca3-O2_vi_al] 古生代 カンブリア紀 シリーズ3世〜中期オルドビス紀, 安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩"
"b36c99","[Q12_vba_al] 新生代 第四紀 更新世 カラブリアン期, アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩"
"b37333","[P2_soc] 古生代 ペルム紀 グアダルピアン世, 海成層 礫岩"
"b3f3b3","[K11_snsmm] 中生代 前期白亜紀 ベリアシアン期〜バレミアン期, 非海成層 砂岩・泥岩"
"b3f3b4","[K11_sbsm] 中生代 前期白亜紀 ベリアシアン期〜バレミアン期, 汽水成層ないし海成・非海成混合層 砂岩泥岩互層ないし砂岩・泥岩"
"b42bab","[Pg3_pbd_a] 新生代 古第三紀 漸新世 ルペリアン期, 閃緑岩・石英閃緑岩 島弧・大陸"
"b43400","[Pg1_mghul_cb] 新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b43434","[Pg1_mghul_ckc] 新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b43474","[Pg1_mghul_cph] 新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b44800","[Pg4-N211_sor_Pg4] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 後期ランギアン期, 多色泥岩 後期漸新世-中期中新世前期付加体"
"b4a069","[J1_soi] 中生代 前期ジュラ紀, 海成層 珪質泥岩"
"b4b434","[Tr2-3_mmyry_dgs] 中生代 中期三畳紀〜後期三畳紀, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 緑片岩相"
"b4b474","[Tr2-3_mmyry_dam] 中生代 中期三畳紀〜後期三畳紀, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 角閃岩相"
"b4b4b4","[Pg3_sod] 新生代 古第三紀 漸新世 ルペリアン期, 海成層 崩壊堆積物"
"b4b4b5","[Tr2-3_mmyry_db] 中生代 中期三畳紀〜後期三畳紀, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 黒雲母帯"
"b4b4f4","[Tr2-3_mmyry_dkc] 中生代 中期三畳紀〜後期三畳紀, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"b51775","[Pg2_pbg_a] 新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期, 斑れい岩 島弧・大陸"
"b53500","[Pg2_mghul_cb] 新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b53535","[Pg2_mghul_ckc] 新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b53575","[Pg2_mghul_cph] 新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b575b5","[K22-Pg2_msl_lgs] 中生代 後期白亜紀 カンパニアン期〜新生代 古第三紀 始新世 プリアボニアン期, 粘板岩  低P/T型広域変成岩　緑色片岩相"
"b575f5","[K22-Pg2_msl_lra] 中生代 後期白亜紀 カンパニアン期〜新生代 古第三紀 始新世 プリアボニアン期, 粘板岩  低P/T型広域変成岩　ぶどう石アクチノ閃石亜相"
"b57da6","[N2_vba_al] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩"
"b5b535","[K12_mmyry_dgs] 中生代 前期白亜紀 アプチアン期〜アルビアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 緑片岩相"
"b5b575","[K12_mmyry_dam] 中生代 前期白亜紀 アプチアン期〜アルビアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 角閃岩相"
"b5b5b5","[K12_mmyry_db] 中生代 前期白亜紀 アプチアン期〜アルビアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 黒雲母帯"
"b5b5f5","[K12_mmyry_dkc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"b5dfad","[K22_sosma] 中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 海成層 砂岩泥岩互層"
"b63600","[Pg3_mghul_cb] 新生代 古第三紀 漸新世 ルペリアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b63636","[Pg3_mghul_ckc] 新生代 古第三紀 漸新世 ルペリアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b63676","[Pg3_mghul_cph] 新生代 古第三紀 漸新世 ルペリアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b67b60","[Pg4_vis_ai] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 安山岩・玄武岩質安山岩 貫入岩"
"b67ba3","[Q11_vba_al] 新生代 第四紀 更新世 ジェラシアン期, アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩"
"b69c0a","[Tr1-32_mscpe_lb] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 泥質片岩 低P/T型広域変成岩　黒雲母帯"
"b6b636","[K2-Pg12_mmyry_dgs] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 緑片岩相"
"b6b676","[K2-Pg12_mmyry_dam] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 角閃岩相"
"b6b6b6","[K2-Pg12_mmyry_db] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 黒雲母帯"
"b6b6f6","[K2-Pg12_mmyry_dkc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"b72222","[N12-211_pb_a_N2] 新生代 新第三紀 中新世 後期バーディガリアン期〜後期ランギアン期, 斑れい岩・閃緑岩・石英閃緑岩 島弧・大陸 前期中新世後期-中期中新世付加体"
"b73700","[Pg4_mghul_cb] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b73737","[Pg4_mghul_ckc] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b73777","[Pg4_mghul_cph] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b77737","[P3_soc] 古生代 ペルム紀 ローピンジアン世, 海成層 礫岩"
"b77a1a","[Pg3_via_al] 新生代 古第三紀 漸新世 ルペリアン期, 粗面安山岩 溶岩・火砕岩"
"b7b737","[Pg2-N121_mmyry_dgs] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 緑片岩相"
"b7b777","[Pg2-N121_mmyry_dam] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 角閃岩相"
"b7b7b7","[Pg2-N121_mmyry_db] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 黒雲母帯"
"b7b7f7","[Pg2-N121_mmyry_dkc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, デイサイトマイロナイト・流紋岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"b7f7b7","[K12_snsmm] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 非海成層 砂岩・泥岩"
"b7f7b8","[K12_sbsm] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 汽水成層ないし海成・非海成混合層 砂岩泥岩互層ないし砂岩・泥岩"
"b83800","[N1_mghul_cb] 新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b83838","[N1_mghul_ckc] 新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b83878","[N1_mghul_cph] 新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b878b8","[K22-Pg2_mpype_lgs] 中生代 後期白亜紀 カンパニアン期〜新生代 古第三紀 始新世 プリアボニアン期, 泥質千枚岩 低P/T型広域変成岩　緑色片岩相"
"b878f8","[K22-Pg2_mpype_lra] 中生代 後期白亜紀 カンパニアン期〜新生代 古第三紀 始新世 プリアボニアン期, 泥質千枚岩 低P/T型広域変成岩　ぶどう石アクチノ閃石亜相"
"b8b0a7","[Pg14-3_sx_Pg2] 新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期, 混在岩 始新世-前期漸新世付加体"
"b8b838","[Tr2-3_mmygd_dgs] 中生代 中期三畳紀〜後期三畳紀, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 緑片岩相"
"b8b878","[Tr2-3_mmygd_dam] 中生代 中期三畳紀〜後期三畳紀, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 角閃岩相"
"b8b8b8","[Tr2-3_mmygd_db] 中生代 中期三畳紀〜後期三畳紀, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 黒雲母帯"
"b8b8f8","[Tr2-3_mmygd_dkc] 中生代 中期三畳紀〜後期三畳紀, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"b8e2d7","[N3_snm] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 非海成層 泥岩"
"b8e6e1","[N3_sbm] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 汽水成層ないし海成・非海成混合層 泥岩"
"b90000","[Ca_pin_a] 古生代 カンブリア紀, 花崗閃緑岩・トーナル岩 片麻状 島弧・大陸"
"b92faf","[Pg4_pbd_a] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 閃緑岩・石英閃緑岩 島弧・大陸"
"b93900","[N2_mghul_cb] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"b93939","[N2_mghul_ckc] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"b93979","[N2_mghul_cph] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"b9891d","[Q12_via_al] 新生代 第四紀 更新世 カラブリアン期, 粗面安山岩 溶岩・火砕岩"
"b98aac","[N3_vba_al] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩"
"b9a46e","[J2_soi] 中生代 中期ジュラ紀, 海成層 珪質泥岩"
"b9b30f","[O3-D1_soss] 古生代 後期オルドビス紀〜前期デボン紀, 海成層 砂岩"
"b9b939","[K12_mmygd_dgs] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 緑片岩相"
"b9b979","[K12_mmygd_dam] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 角閃岩相"
"b9b9b9","[K12_mmygd_db] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 黒雲母帯"
"b9b9f9","[K12_mmygd_dkc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"ba1976","[Pg3_pbg_a] 新生代 古第三紀 漸新世 ルペリアン期, 斑れい岩 島弧・大陸"
"ba3a00","[N3_mghul_cb] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"ba3a3a","[N3_mghul_ckc] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"ba3a7a","[N3_mghul_cph] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"ba811c","[Pg4_via_al] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 粗面安山岩 溶岩・火砕岩"
"baba7a","[K2-Pg12_mmygd_dam] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 角閃岩相"
"bababa","[K2-Pg12_mmygd_db] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 黒雲母帯"
"babafa","[K2-Pg12_mmygd_dkc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"baecfe","[N2_som] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 海成層 泥岩"
"bb1829","[P_pim_a] 古生代 ペルム紀, 花崗閃緑岩・トーナル岩 塊状 島弧・大陸"
"bb3b00","[Q1_mghul_cb] 新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"bb3b3b","[Q1_mghul_ckc] 新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"bb3b7b","[Q1_mghul_cph] 新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 超苦鉄質グラノフェルス（超苦鉄質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"bb6f61","[N3_via_ai] 新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 粗面安山岩 貫入岩"
"bb7b3a","[Tr1-21_soc] 中生代 前期三畳紀〜後期三畳紀 アニシアン期, 海成層 礫岩"
"bb7b3b","[Tr1-21_snc] 中生代 前期三畳紀〜後期三畳紀 アニシアン期, 非海成層 礫岩"
"bb7b3c","[Tr1-21_sbc] 中生代 前期三畳紀〜後期三畳紀 アニシアン期, 汽水成層ないし海成・非海成混合層 礫岩"
"bbbb3b","[Pg2-N121_mmygd_dgs] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 緑片岩相"
"bbbb7b","[Pg2-N121_mmygd_dam] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 角閃岩相"
"bbbbbb","[Pg2-N121_mmygd_db] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 黒雲母帯"
"bbbbfb","[Pg2-N121_mmygd_dkc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗閃緑岩マイロナイト・トーナル岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"bbe2b4","[Pg1_sosma] 新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 海成層 砂岩泥岩互層"
"bbfbbb","[K21_snsmm] 中生代 後期白亜紀 セノマニアン期〜サントニアン期, 非海成層 砂岩・泥岩"
"bbfbbc","[K21_sbsm] 中生代 後期白亜紀 セノマニアン期〜サントニアン期, 汽水成層ないし海成・非海成混合層 砂岩泥岩互層ないし砂岩・泥岩"
"bc3c00","[O-D_mghls_cb] 古生代 オルドビス紀〜デボン紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"bc3c3c","[O-D_mghls_ckc] 古生代 オルドビス紀〜デボン紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"bc3c7c","[O-D_mghls_cph] 古生代 オルドビス紀〜デボン紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"bcb60f","[D2-3_soss] 古生代 中期デボン紀〜後期デボン紀, 海成層 砂岩"
"bcbc3c","[Tr2-3_mmygr_dgs] 中生代 中期三畳紀〜後期三畳紀, 花崗岩マイロナイト 変位変成岩 緑片岩相"
"bcbc7c","[Tr2-3_mmygr_dam] 中生代 中期三畳紀〜後期三畳紀, 花崗岩マイロナイト 変位変成岩 角閃岩相"
"bcbcbc","[Tr2-3_mmygr_db] 中生代 中期三畳紀〜後期三畳紀, 花崗岩マイロナイト 変位変成岩 黒雲母帯"
"bcbcfc","[Tr2-3_mmygr_dkc] 中生代 中期三畳紀〜後期三畳紀, 花崗岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"bd3d00","[C_mghls_cb] 古生代 石炭紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"bd3d3d","[C_mghls_ckc] 古生代 石炭紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"bd3d7d","[C_mghls_cph] 古生代 石炭紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"bdbd3d","[K12_mmygr_dgs] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗岩マイロナイト 変位変成岩 緑片岩相"
"bdbd7d","[K12_mmygr_dam] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗岩マイロナイト 変位変成岩 角閃岩相"
"bdbdbd","[K12_mmygr_db] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗岩マイロナイト 変位変成岩 黒雲母帯"
"bdbdfd","[K12_mmygr_dkc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 花崗岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"bdff8c","[N222-32_somas_N3] 新生代 新第三紀 中新世 トートニアン期〜鮮新世 ザンクリアン期, 砂岩泥岩互層 後期中新世-前期鮮新世付加体"
"be0505","[P1-21_pi_o_Pb] 古生代 ペルム紀 シスウラリアン世〜グアダルピアン世 ローディアン期, 花崗閃緑岩・トーナル岩 海洋 前期-中期ペルム紀の苦鉄質岩類に富む付加体"
"be33b3","[N1_pbd_a] 新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期, 閃緑岩・石英閃緑岩 島弧・大陸"
"be3e00","[P_mghls_cb] 古生代 ペルム紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"be3e3e","[P_mghls_ckc] 古生代 ペルム紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"be3e7e","[P_mghls_cph] 古生代 ペルム紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"bea873","[J3_soi] 中生代 後期ジュラ紀, 海成層 珪質泥岩"
"bebe3e","[K2-Pg12_mmygr_dgs] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩 緑片岩相"
"bebe7e","[K2-Pg12_mmygr_dam] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩 角閃岩相"
"bebebe","[Pg4_sod] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 海成層 崩壊堆積物"
"bebebf","[K2-Pg12_mmygr_db] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩 黒雲母帯"
"bebefe","[K2-Pg12_mmygr_dkc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"bef782","[N12-221_sosma_N2] 新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期, 海成層 砂岩泥岩互層 前期中新世後期-中期中新世付加体"
"beffbe","[Q22_so] 新生代 第四紀 後期チバニアン期, 海成層"
"beffdc","[Q3_so] 新生代 第四紀 後期更新世, 海成層"
"bf0085","[O-S_pam_a] 古生代 オルドビス紀〜シルル紀, 花崗岩 塊状 島弧・大陸"
"bf049e","[O-S_pan_a] 古生代 オルドビス紀〜シルル紀, 花崗岩 片麻状 島弧・大陸"
"bf1a77","[Pg4_pbg_a] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 斑れい岩 島弧・大陸"
"bf35c5","[Q1_pbd_a] 新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 閃緑岩・石英閃緑岩 島弧・大陸"
"bf3f00","[Tr_mghls_cb] 中生代 三畳紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 黒雲母帯"
"bf3f3f","[Tr_mghls_ckc] 中生代 三畳紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 カリ長石菫青石帯"
"bf3f7f","[Tr_mghls_cph] 中生代 三畳紀, 石灰質グラノフェルス（石灰質ホルンフェルスを含む） 接触変成岩 斜方輝石帯（輝石ホルンフェルス相）"
"bf7f3e","[Tr22-3_soc] 中生代 後期三畳紀 ラディニアン期〜後期三畳紀, 海成層 礫岩"
"bf7f3f","[Tr22-3_snc] 中生代 後期三畳紀 ラディニアン期〜後期三畳紀, 非海成層 礫岩"
"bf7f40","[Tr22-3_sbc] 中生代 後期三畳紀 ラディニアン期〜後期三畳紀, 汽水成層ないし海成・非海成混合層 礫岩"
"bf8c1e","[N1_via_al] 新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期, 粗面安山岩 溶岩・火砕岩"
"bfb90f","[C_soss] 古生代 石炭紀, 海成層 砂岩"
"bfbf3f","[Pg2-N121_mmygr_dgs] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗岩マイロナイト 変位変成岩 緑片岩相"
"bfbf7f","[Pg2-N121_mmygr_dam] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗岩マイロナイト 変位変成岩 角閃岩相"
"bfbfbf","[Pg2-N121_mmygr_db] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗岩マイロナイト 変位変成岩 黒雲母帯"
"bfbfff","[Pg2-N121_mmygr_dkc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 花崗岩マイロナイト 変位変成岩 カリ長石菫青石帯"
"bff378","[Pg4-N211_somas_Pg4] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 後期ランギアン期, 砂岩泥岩互層 後期漸新世-中期中新世前期付加体"
"bfffbf","[K22_snsmm] 中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 非海成層 砂岩・泥岩"
"bfffc0","[K22_sbsm] 中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 汽水成層ないし海成・非海成混合層 砂岩泥岩互層ないし砂岩・泥岩"
